Event ID,Crossed MODULE ID,Detector Type
195994,574,planar_left
195995,41,cylinder
195996,64,cylinder
195997,43,cylinder
195998,59,cylinder
195999,27,cylinder
196000,64,cylinder
196000,98,planar_right
196001,43,cylinder
196002,73,cylinder
196003,67,cylinder
196004,33,cylinder
196005,17,cylinder
196006,50,cylinder
196007,48,cylinder
196008,43,cylinder
196009,17,cylinder
196010,32,cylinder
196011,50,cylinder
196012,74,cylinder
196012,223,planar_right
196013,41,cylinder
196014,41,cylinder
196015,32,cylinder
196016,49,cylinder
196017,73,cylinder
196017,239,planar_right
196018,42,cylinder
196019,75,cylinder
196020,66,cylinder
196021,66,cylinder
196022,72,cylinder
196022,346,planar_right
196023,65,cylinder
196024,49,cylinder
196025,74,cylinder
196025,158,planar_right
196026,59,cylinder
196027,66,cylinder
196028,65,cylinder
196029,75,cylinder
196029,141,planar_right
196030,16,cylinder
196031,26,cylinder
196032,75,cylinder
196032,107,planar_right
196033,34,cylinder
196034,74,cylinder
196035,73,cylinder
196036,18,cylinder
196036,399,planar_left
196037,59,cylinder
196038,18,cylinder
196038,479,planar_left
196039,27,cylinder
196040,51,cylinder
196041,24,cylinder
196042,59,cylinder
196043,56,cylinder
196044,33,cylinder
196045,16,cylinder
196045,605,planar_left
196046,16,cylinder
196047,18,cylinder
196047,399,planar_left
196048,19,cylinder
196048,366,planar_left
196048,562,planar_left
196049,49,cylinder
196050,64,cylinder
196051,35,cylinder
196052,51,cylinder
196053,67,cylinder
196054,64,cylinder
196055,59,cylinder
196056,59,cylinder
196057,58,cylinder
196058,57,cylinder
196059,32,cylinder
196060,65,cylinder
196061,56,cylinder
196061,103,planar_right
196062,34,cylinder
196063,33,cylinder
196064,48,cylinder
196065,33,cylinder
196066,40,cylinder
196067,48,cylinder
196068,34,cylinder
196069,75,cylinder
196070,74,cylinder
196071,40,cylinder
196072,40,cylinder
196073,65,cylinder
196074,24,cylinder
196074,370,planar_left
196075,354,planar_left
196075,48,cylinder
196076,51,cylinder
196077,66,cylinder
196078,42,cylinder
196079,25,cylinder
196080,73,cylinder
196080,302,planar_right
196081,67,cylinder
196082,34,cylinder
196083,43,cylinder
196084,112,planar_right
196084,33,cylinder
196085,129,planar_right
196085,65,cylinder
196086,51,cylinder
196087,73,cylinder
196088,34,cylinder
196089,64,cylinder
196089,116,planar_right
196090,73,cylinder
196091,40,cylinder
196092,50,cylinder
196092,336,planar_right
196093,56,cylinder
196094,56,cylinder
196095,24,cylinder
196096,73,cylinder
196096,286,planar_right
196097,75,cylinder
196098,58,cylinder
196099,464,planar_left
196099,41,cylinder
196100,25,cylinder
196101,72,cylinder
196102,597,planar_left
196102,59,cylinder
196103,57,cylinder
196104,16,cylinder
196104,590,planar_left
196105,17,cylinder
196105,559,planar_left
196106,50,cylinder
196107,354,planar_left
196107,32,cylinder
196108,42,cylinder
196109,58,cylinder
196110,50,cylinder
196111,50,cylinder
196112,26,cylinder
196113,34,cylinder
196114,57,cylinder
196115,27,cylinder
196116,72,cylinder
196117,51,cylinder
196118,32,cylinder
196119,66,cylinder
196120,58,cylinder
196121,72,cylinder
196122,35,cylinder
196123,73,cylinder
196123,271,planar_right
196124,35,cylinder
196125,43,cylinder
196126,577,planar_left
196126,66,cylinder
196126,111,planar_right
196127,65,cylinder
196128,16,cylinder
196128,588,planar_left
196129,67,cylinder
196129,338,planar_right
196130,41,cylinder
196131,42,cylinder
196132,40,cylinder
196133,17,cylinder
196134,43,cylinder
196134,597,planar_left
196135,27,cylinder
196136,67,cylinder
196138,48,cylinder
196139,75,cylinder
196139,106,planar_right
196140,529,planar_left
196140,58,cylinder
196141,40,cylinder
196142,75,cylinder
196142,107,planar_right
196143,75,cylinder
196143,110,planar_right
196143,322,planar_right
196144,16,cylinder
196145,56,cylinder
196146,41,cylinder
196147,75,cylinder
196147,105,planar_right
196148,58,cylinder
196149,576,planar_left
196149,18,cylinder
196149,383,planar_left
196150,33,cylinder
196151,41,cylinder
196152,32,cylinder
196153,74,cylinder
196153,143,planar_right
196154,176,planar_right
196154,25,cylinder
196155,50,cylinder
196156,18,cylinder
196157,42,cylinder
196158,59,cylinder
196159,27,cylinder
196160,41,cylinder
196161,57,cylinder
196162,51,cylinder
196162,340,planar_right
196163,40,cylinder
196164,64,cylinder
196165,48,cylinder
196166,73,cylinder
196166,302,planar_right
196167,57,cylinder
196168,73,cylinder
196169,49,cylinder
196170,65,cylinder
196171,35,cylinder
196172,17,cylinder
196172,558,planar_left
196172,401,planar_left
196173,67,cylinder
196174,27,cylinder
196175,358,planar_left
196175,64,cylinder
196176,58,cylinder
196177,40,cylinder
196178,58,cylinder
196179,48,cylinder
196180,56,cylinder
196181,50,cylinder
196182,25,cylinder
196182,96,planar_right
196183,51,cylinder
196184,17,cylinder
196184,527,planar_left
196185,75,cylinder
196185,108,planar_right
196185,339,planar_right
196186,33,cylinder
196187,18,cylinder
196187,413,planar_left
196187,290,planar_right
196188,42,cylinder
196189,339,planar_right
196189,59,cylinder
196190,25,cylinder
196191,65,cylinder
196192,65,cylinder
196193,355,planar_left
196193,56,cylinder
196194,48,cylinder
196194,386,planar_left
196195,40,cylinder
196196,386,planar_left
196196,56,cylinder
196197,32,cylinder
196198,65,cylinder
196199,26,cylinder
196200,27,cylinder
196200,597,planar_left
196201,130,planar_right
196201,16,cylinder
196201,590,planar_left
196202,19,cylinder
196202,381,planar_left
196202,579,planar_left
196203,26,cylinder
196204,561,planar_left
196204,26,cylinder
196205,34,cylinder
196206,66,cylinder
196207,33,cylinder
196208,34,cylinder
196209,75,cylinder
196210,67,cylinder
196211,48,cylinder
196212,43,cylinder
196213,74,cylinder
196214,40,cylinder
196215,24,cylinder
196216,50,cylinder
196217,43,cylinder
196218,49,cylinder
196219,75,cylinder
196220,35,cylinder
196221,42,cylinder
196222,51,cylinder
196223,57,cylinder
196224,304,planar_right
196224,50,cylinder
196225,64,cylinder
196226,65,cylinder
196227,48,cylinder
196228,48,cylinder
196229,65,cylinder
196230,43,cylinder
196231,49,cylinder
196232,65,cylinder
196233,59,cylinder
196234,43,cylinder
196235,75,cylinder
196236,49,cylinder
196237,35,cylinder
196238,58,cylinder
196239,57,cylinder
196240,34,cylinder
196241,40,cylinder
196242,67,cylinder
196242,111,planar_right
196243,67,cylinder
196244,48,cylinder
196245,41,cylinder
196246,24,cylinder
196247,16,cylinder
196248,595,planar_left
196248,19,cylinder
196249,35,cylinder
196250,50,cylinder
196251,40,cylinder
196252,35,cylinder
196253,528,planar_left
196253,18,cylinder
196253,415,planar_left
196254,65,cylinder
196255,35,cylinder
196256,320,planar_right
196256,27,cylinder
196256,367,planar_left
196257,75,cylinder
196258,72,cylinder
196258,317,planar_right
196259,48,cylinder
196260,59,cylinder
196261,144,planar_right
196261,17,cylinder
196261,559,planar_left
196262,73,cylinder
196263,18,cylinder
196263,447,planar_left
196264,59,cylinder
196265,33,cylinder
196266,35,cylinder
196267,18,cylinder
196268,416,planar_left
196268,41,cylinder
196269,372,planar_left
196269,40,cylinder
196270,32,cylinder
196271,42,cylinder
196272,67,cylinder
196273,72,cylinder
196274,357,planar_left
196274,64,cylinder
196275,342,planar_right
196275,67,cylinder
196276,25,cylinder
196277,25,cylinder
196278,74,cylinder
196278,305,planar_right
196279,59,cylinder
196280,64,cylinder
196281,75,cylinder
196282,56,cylinder
196283,74,cylinder
196284,58,cylinder
196285,27,cylinder
196286,41,cylinder
196287,24,cylinder
196288,41,cylinder
196289,26,cylinder
196290,64,cylinder
196291,41,cylinder
196292,40,cylinder
196293,26,cylinder
196294,595,planar_left
196294,75,cylinder
196295,59,cylinder
196296,42,cylinder
196297,49,cylinder
196298,25,cylinder
196299,72,cylinder
196299,333,planar_right
196300,57,cylinder
196301,43,cylinder
196302,26,cylinder
196303,24,cylinder
196303,359,planar_left
196304,33,cylinder
196305,43,cylinder
196306,24,cylinder
196307,24,cylinder
196308,48,cylinder
196309,41,cylinder
196310,48,cylinder
196311,41,cylinder
196312,66,cylinder
196313,74,cylinder
196314,42,cylinder
196315,49,cylinder
196316,16,cylinder
196317,75,cylinder
196318,40,cylinder
196319,32,cylinder
196320,59,cylinder
196321,43,cylinder
196322,41,cylinder
196323,34,cylinder
196324,74,cylinder
196325,65,cylinder
196325,401,planar_left
196326,43,cylinder
196327,41,cylinder
196328,33,cylinder
196329,41,cylinder
196329,448,planar_left
196330,32,cylinder
196331,49,cylinder
196332,33,cylinder
196333,49,cylinder
196334,19,cylinder
196334,365,planar_left
196335,67,cylinder
196336,26,cylinder
196337,65,cylinder
196338,144,planar_right
196338,57,cylinder
196339,65,cylinder
196340,72,cylinder
196340,334,planar_right
196341,33,cylinder
196342,101,planar_right
196342,72,cylinder
196343,33,cylinder
196344,51,cylinder
196345,18,cylinder
